RV32PRIVM,"Privileged, Machine-Level ISA",1.11
xlen,32
""
Extension,Subset,Instruction,Description,Covergroup,Coverpoint,Coverpoint Description,Coverage Level,Pass/Fail Criteria,Test Type,Coverage Method
,,,,,cp_mideleg_ssip,mideleg (CSR) field ssip,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mideleg_stip,mideleg (CSR) field stip,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mie,"Privileged, Machine-Level ISA",mie_cg,,,,,,
,,,,,cp_mie_meie,mie (CSR) field meie,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mie_msee,mie (CSR) field msee,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mie_mtie,mie (CSR) field mtie,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mie_seie,mie (CSR) field seie,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mie_ssie,mie (CSR) field ssie,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mie_stie,mie (CSR) field stie,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mip,"Privileged, Machine-Level ISA",mip_cg,,,,,,
,,,,,cp_mip_meip,mip (CSR) field meip,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mip_msip,mip (CSR) field msip,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mip_mtip,mip (CSR) field mtip,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mip_seip,mip (CSR) field seip,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mip_ssip,mip (CSR) field ssip,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mip_stip,mip (CSR) field stip,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,misa,"Privileged, Machine-Level ISA",misa_cg,,,,,,
,,,,,cp_misa_exts,misa (CSR) field exts,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_misa_mxl,misa (CSR) field mxl,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mstatus,"Privileged, Machine-Level ISA",mstatus_cg,,,,,,
,,,,,cp_mstatus_fs,mstatus (CSR) field fs,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatus_mie,mstatus (CSR) field mie,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatus_mpie,mstatus (CSR) field mpie,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatus_mpp,mstatus (CSR) field mpp,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatus_mprv,mstatus (CSR) field mprv,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatus_mxr,mstatus (CSR) field mxr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatus_sd,mstatus (CSR) field sd,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatus_sie,mstatus (CSR) field sie,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatus_spie,mstatus (CSR) field spie,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatus_spp,mstatus (CSR) field spp,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatus_sum,mstatus (CSR) field sum,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatus_tsr,mstatus (CSR) field tsr,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatus_tvm,mstatus (CSR) field tvm,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatus_tw,mstatus (CSR) field tw,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatus_ube,mstatus (CSR) field ube,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_mstatus_xs,mstatus (CSR) field xs,DV Privileged Basic,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_wr_count,Number of times csr is written,Compliance Basic,Check against Reference Model,Constrained-Random,Functional Coverage
RV32PRIVM,,mstatush,"Privileged, Machine-Level ISA",mstatush_cg,,,,,,
